"","id","installed","latitude","locked","longitude","name","bikes_count","docks_count","nbEmptyDocks","temporary","terminal_name","install_date","removal_date","num_start_journeys","num_end_journeys","total_touchpoints","avg_weekly_touchpoints","weekly_touchpoints"
"744",462,"true","51.541603","false","-0.138853","Bonny Street, Camden Town",16,45,29,"false",200105,"2012-01-11",NA,2182,2297,4479,1119.75,1119.75
"745",491,"true","51.522507","false","-0.041378","Queen Mary's, Mile End",0,45,40,"false",200249,"2012-01-22",NA,835,772,1607,401.75,401.75
"746",549,"true","51.49605","false","-0.104193","Gaywood  Street, Elephant & Castle",1,45,43,"false",200132,"",NA,890,801,1691,422.75,422.75
"747",574,"true","51.53356","false","-0.09315","Eagle Wharf Road, Hoxton",1,45,44,"false",200246,"2012-04-05",NA,1481,1415,2896,724,724
"748",602,"true","51.472993","false","-0.133972","Union Grove, Wandsworth Road",0,45,44,"false",200211,"",NA,1361,1394,2755,688.75,688.75
"749",80,"true","51.50069361","false","-0.102091246","Webber Street , Southwark",0,45,45,"false",3448,"2010-07-12",NA,853,784,1637,409.25,409.25
"750",421,"true","51.504044","false","-0.104778","Southwark Station 2, Southwark",0,45,45,"false",22163,"2011-06-28",NA,357,347,704,176,176
"751",490,"true","51.508622","false","-0.065006","Pennington Street, Wapping",0,45,45,"false",200090,"",NA,465,388,853,213.25,213.25
"752",681,"true","51.47303687","false","-0.214749808","Bishop's Avenue, Fulham",32,46,14,"false",200043,"2013-11-06",NA,1491,1623,3114,778.5,778.5
"753",470,"true","51.530535","false","-0.025492","Mostyn Grove, Bow",3,46,41,"false",200174,"2012-01-17",NA,983,901,1884,471,471
"754",682,"true","51.48810829","false","-0.22660621","Crisp Road, Hammersmith",1,46,44,"false",200059,"2013-11-06",NA,2303,2335,4638,1159.5,1159.5
"755",269,"true","51.50082346","false","-0.089740764","Empire Square, The Borough",1,46,45,"false",1209,"2010-07-21",NA,1093,1202,2295,573.75,573.75
"756",144,"true","51.48894022","false","-0.111435796","Kennington Cross, Kennington",0,47,44,"false",1093,"2010-07-15",NA,1539,1479,3018,754.5,754.5
"757",365,"true","51.530344","false","-0.100168","City Road, Angel",0,47,46,"false",2690,"2010-11-24",NA,616,577,1193,298.25,298.25
"758",763,"true","51.52059714","false","-0.032566533","Mile End Park Leisure Centre, Mile End",1,47,46,"false",300027,"2014-02-10",NA,1151,1096,2247,561.75,561.75
"759",723,"true","51.46822047","false","-0.190346493","Stephendale Road, Sands End",0,48,44,"false",300053,"2013-11-21",NA,1814,1834,3648,912,912
"760",14,"true","51.52994371","false","-0.123616824","Belgrove Street , King's Cross",1,48,46,"false",1011,"2010-07-05",NA,1543,1444,2987,746.75,746.75
"761",12,"true","51.52168078","false","-0.130431727","Malet Street, Bloomsbury",1,49,48,"false",980,"2010-07-05",NA,527,495,1022,255.5,255.5
"762",25,"true","51.5288338","false","-0.132250369","Doric Way , Somers Town",6,50,44,"false",1004,"2010-07-06",NA,473,442,915,228.75,228.75
"763",247,"true","51.530529","false","-0.167515","St. John's Wood Church, The Regent's Park",0,50,49,"false",1091,"2010-07-20",NA,1852,1744,3596,899,899
"764",547,"true","51.509474","false","-0.002275","East India DLR, Blackwall",3,51,47,"false",200127,"",NA,2202,2336,4538,1134.5,1134.5
"765",175,"true","51.521668","false","-0.079608554","Worship Street, Shoreditch",0,51,49,"false",997,"2018-06-22",NA,238,235,473,118.25,118.25
"766",513,"true","51.5142228","false","-0.055656","Watney Market, Stepney",0,51,51,"false",200162,"",NA,925,836,1761,440.25,440.25
"767",126,"true","51.51782144","false","-0.096496865","Museum of London, Barbican",0,52,52,"false",1043,"2010-07-15",NA,394,388,782,195.5,195.5
"768",98,"true","51.52554222","false","-0.138231303","Hampstead Road, Euston",26,54,28,"false",972,"2010-07-14",NA,1200,1140,2340,585,585
"769",447,"true","51.493381","false","-0.007542","Jubilee Crescent, Cubitt Town",0,54,51,"false",200054,"2012-01-07",NA,495,462,957,239.25,239.25
"770",215,"true","51.51906932","false","-0.088285377","Moorfields, Moorgate",0,54,54,"false",1092,"2010-07-19",NA,494,372,866,216.5,216.5
"771",361,"true","51.50391973","false","-0.11342629","Waterloo Station 2, Waterloo",0,55,55,"false",2692,"2010-12-09",NA,362,252,614,153.5,153.5
"772",194,"true","51.50462759","false","-0.091773776","Hop Exchange, The Borough",3,56,50,"false",960,"2010-07-17",NA,3720,4398,8118,2029.5,2029.5
"773",671,"true","51.475089","false","-0.201968","Parsons Green Station, Parsons Green",2,56,53,"false",300052,"2013-10-31",NA,953,959,1912,478,478
"774",362,"true","51.536264","false","-0.133952","Royal College Street, Camden Town",22,57,35,"false",2686,"2010-11-18",NA,708,673,1381,345.25,345.25
"775",109,"true","51.51563144","false","-0.132328837","Soho Square , Soho",2,57,53,"false",1052,"2010-07-14",NA,1275,1217,2492,623,623
"776",193,"true","51.50581776","false","-0.100186337","Bankside Mix, Bankside",1,60,56,"false",963,"2010-07-17",NA,627,563,1190,297.5,297.5
"777",532,"true","51.50357","false","-0.020068","Jubilee Plaza, Canary Wharf",2,63,60,"false",200163,"2012-02-10",NA,1316,1327,2643,660.75,660.75
"778",785,"true","51.54094","false","-0.010510565","Aquatic Centre, Queen Elizabeth Olympic Park",6,64,51,"false",300233,"2016-01-04",NA,4368,4389,8757,2189.25,2189.25
"779",410,"true","51.519968","false","-0.169774","Edgware Road Station, Marylebone",1,64,63,"false",1058,"",NA,1337,1270,2607,651.75,651.75
